OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP
,,,JAN,,,,,,,,
,,,,,,,MAY,,,,
,NOV,,,,,,,,,AUG,
,,,,FEB,MAR,,,,,,
,,DEC,,,,,,JUN,,,
,,,,,,,,,,,SEP
OCT,,,,,,APR,,,JUL,,
BLANK,BLANK,BLANK,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
BLANK,BLANK,BLANK,2,BLANK,BLANK,BLANK,1,BLANK,BLANK,BLANK,BLANK
BLANK,1,BLANK,3,BLANK,BLANK,BLANK,2,BLANK,BLANK,1,BLANK
BLANK,2,BLANK,4,1,1,BLANK,3,BLANK,BLANK,2,BLANK
BLANK,3,1,5,2,2,BLANK,4,1,BLANK,3,BLANK
BLANK,4,2,6,3,3,BLANK,5,2,BLANK,4,1
1,5,3,7,4,4,1,6,3,1,5,2
2,6,4,8,5,5,2,7,4,2,6,3
3,7,5,9,6,6,3,8,5,3,7,4
4,8,6,10,7,7,4,9,6,4,8,5
5,9,7,11,8,8,5,10,7,5,9,6
6,10,8,12,9,9,6,11,8,6,10,7
7,11,9,13,10,10,7,12,9,7,11,8
8,12,10,14,11,11,8,13,10,8,12,9
9,13,11,15,12,12,9,14,11,9,13,10
10,14,12,16,13,13,10,15,12,10,14,11
11,15,13,17,14,14,11,16,13,11,15,12
12,16,14,18,15,15,12,17,14,12,16,13
13,17,15,19,16,16,13,18,15,13,17,14
14,18,16,20,17,17,14,19,16,14,18,15
15,19,17,21,18,18,15,20,17,15,19,16
16,20,18,22,19,19,16,21,18,16,20,17
17,21,19,23,20,20,17,22,19,17,21,18
18,22,20,24,21,21,18,23,20,18,22,19
19,23,21,25,22,22,19,24,21,19,23,20
20,24,22,26,23,23,20,25,22,20,24,21
21,25,23,27,24,24,21,26,23,21,25,22
22,26,24,28,25,25,22,27,24,22,26,23
23,27,25,29,26,26,23,28,25,23,27,24
24,28,26,30,27,27,24,29,26,24,28,25
25,29,27,31,28,28,25,30,27,25,29,26
26,30,28,BLANK,BLANK,29,26,31,28,26,30,27
27,BLANK,29,BLANK,BLANK,30,27,BLANK,29,27,31,28
28,BLANK,30,BLANK,BLANK,31,28,BLANK,30,28,BLANK,29
29,BLANK,31,BLANK,BLANK,BLANK,29,BLANK,BLANK,29,BLANK,30
30,BLANK,BLANK,BLANK,BLANK,BLANK,30,BLANK,BLANK,30,BLANK,BLANK
31,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,31,BLANK,BLANK
